"Last updated: January 8, 2026",,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Jan 6 - Sign within 5 blocks after the v25.3.0 upgrade
🐹 Quokka Stake,3,,2,1
01node,0,,0,0
BlockHunters,3,,2,1
Blockpower,3,,2,1
blockscape,0,,0,0
Bro_n_Bro,3,,2,1
Citadel.one,3,,2,1
Citizen Web3,3,,2,1
Compass,3,,2,1
Cosmos Spaces,3,,2,1
cosmosrescue,3,,2,1
Cosmostation,3,,2,1
Crosnest,0,,0,0
Crouton Digital,3,,2,1
CrowdControl,3,,2,1
CryptoCrew Validators,3,,2,1
dForce,3,,2,1
DragonStake,3,,2,1
DELIGHT,0,,0,0
DSRV,0,,0,0
Easy 2 Stake,0,,0,0
ECO Stake 🌱,3,,2,1
Enigma,0,,0,0
Everstake,0,,0,0
Golden Ratio Staking,0,,0,0
HashQuark,3,,2,1
High Stakes,3,,2,1
Huginn,3,,2,1
Inter Blockchain Services,3,,2,1
Interstellar Lounge,3,,2,1
Irisnet,3,,2,1
ITRocket,3,,2,1
KalpaTech,0,,0,0
kjnodes.com 🦄,3,,2,1
Lavender.Five Nodes 🐝,0,,0,0
node101,3,,2,1
NodeStake,3,,2,1
NO FEE | Atlas Staking (Autocompound Rewards),0,,0,0
Oldcat - airdrop DHK every month,3,,2,1
papadritta,0,,0,0
polkachu.com,3,,2,1
pro-nodes75,3,,2,1
P2P.ORG - P2P Validator,3,,2,1
Provalidator,3,,2,1
POSTHUMAN 🧬 StakeDrop,0,,0,0
PRO Delegators,3,,2,1
Quasar,0,,0,0
Silk Nodes,3,,2,1
Simply Staking,3,,2,1
Smart Stake 📈📊,3,,2,1
stake.systems,0,,0,0
Stake&Relax 🦥,3,,2,1
Stakecito,3,,2,1
Stakeflow,3,,2,1
Stakely,3,,2,1
TerraBitcoin Club,3,,2,1
Tessellated,3,,2,1
Ubik Capital,3,,2,1
w3coins,3,,2,1
WeStaking,3,,2,1
WhisperNode,0,,0,0
Witval,3,,2,1
Ztake.org,3,,2,1
