"Last updated: April 16, 2025",Neutron/Stride uptime qualification is not available yet for this period.,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Apr 1 (1) - Sign at least one block on test-recover-1,Apr 1 (2) - Recover the test-recover-1 chain,Apr 8 (1) - Submit build specs,Apr 15 (1) - Send us prometheus metrics
Oldcat - airdrop DHK every month,2,,0,0,0,1,1
🐹 Quokka Stake,4,,0,1,1,1,1
01node,4,,0,1,1,1,1
Alessandro Mazza,0,,0,0,0,0,0
Apeiron Nodes,1,,0,0,0,1,0
BlockHunters🎯,5,,2,1,1,1,0
Blockpower,0,,0,0,0,0,0
blockscape,4,,0,1,1,1,1
Bro_n_Bro,4,,0,1,1,1,1
Citadel.one,4,,0,1,1,1,1
Citizen Web3,4,,0,1,1,1,1
Compass,4,,0,1,1,1,1
Cosmos Spaces,4,,0,1,1,1,1
cosmosrescue,4,,0,1,1,1,1
Cosmostation,0,,0,0,0,0,0
Crouton Digital,4,,0,1,1,1,1
CrowdControl,4,,0,1,1,1,1
CryptoCrew Validators,0,,0,0,0,0,0
dForce,0,,0,0,0,0,0
DragonStake,2,,0,0,0,1,1
DSRV,4,,0,1,1,1,1
Easy 2 Stake,4,,0,1,1,1,1
ECO Stake 🌱,4,,0,1,1,1,1
Enigma,0,,0,0,0,0,0
Everstake,4,,0,1,1,1,1
Forbole,0,,0,0,0,0,0
"Frens  (🤝,🤝)",0,,0,0,0,0,0
Golden Ratio Staking,0,,0,0,0,0,0
HashQuark,4,,0,1,1,1,1
High Stakes,4,,0,1,1,1,1
Huginn,4,,0,1,1,1,1
Imperator.co,0,,0,0,0,0,0
Interstellar Lounge,4,,0,1,1,1,1
Irisnet,4,,0,1,1,1,1
KalpaTech,2,,0,0,0,1,1
Keplr (cosmoshub),5,,2,1,1,0,1
kjnodes.com 🦄,5,,2,1,1,1,0
KysenPool,0,,0,0,0,0,0
Lavender.Five Nodes,4,,0,1,1,1,1
node101,4,,0,1,1,1,1
NodeStake,4,,0,1,1,1,1
Oni ⛩️,0,,0,0,0,0,0
P2P.ORG - P2P Validator,0,,0,0,0,0,0
polkachu.com,0,,0,0,0,0,0
Provalidator,4,,0,1,1,1,1
Quasar,4,,0,1,1,1,1
Silk Nodes,4,,0,1,1,1,1
Simply Staking,2,,0,0,0,1,1
Smart Stake 📈📊,1,,0,0,0,1,0
stake.systems,4,,0,1,1,1,1
Stake&Relax 🦥,4,,0,1,1,1,1
Stakecito,4,,0,1,1,1,1
Stakeflow,4,,0,1,1,1,1
Stakely,4,,0,1,1,1,1
TerraBitcoin Club,4,,0,1,1,1,1
Tessellated,1,,0,0,0,0,1
Ubik Capital,0,,0,0,0,0,0
Virtual Hive,0,,0,0,0,0,0
w3coins,4,,0,1,1,1,1
WeStaking,4,,0,1,1,1,1
WhisperNode,5,,2,1,1,1,0
Witval,4,,0,1,1,1,1
Ztake.org,4,,0,1,1,1,1
