"Last updated: June 25, 2026",,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Jun 23 (1) - Sign within 5 blocks after the v27.5.0-rc0 upgrade,Jun 23 (2) - Vote on proposal 319
🐹 Quokka Stake,4,,2,1,1
01node,4,,2,1,1
0base.vc,0,,0,0,0
Bit Cat🐱,1,,0,1,0
BlockHunters,0,,0,0,0
Blockpower,0,,0,0,0
blockscape,1,,0,1,0
Bro_n_Bro,1,,0,1,0
Chiter in Cosmos ⚛,4,,2,1,1
Citadel.one,1,,0,1,0
Citizen Web3,4,,2,1,1
Coinage x DAIC,4,,2,1,1
Compass,0,,0,0,0
Cosmic Validator,0,,0,0,0
Cosmos Spaces,4,,2,1,1
CosmosAf,0,,0,0,0
cosmosrescue,4,,2,1,1
Cosmostation,0,,0,0,0
Crosnest,1,,0,1,0
Crouton Digital,4,,2,1,1
CrowdControl,4,,2,1,1
CryptoCrew Validators,4,,2,1,1
Cumulo,4,,2,1,1
Cypher Core,1,,0,1,0
Cypher Networks,4,,2,1,1
dForce,0,,0,0,0
DragonStake,0,,0,0,0
DELIGHT,1,,0,1,0
DSRV,4,,2,1,1
Easy 2 Stake,0,,0,0,0
ECO Stake 🌱,4,,2,1,1
Endorphine Stake,1,,0,0,1
Enigma,0,,0,0,0
EthicalNode,4,,2,1,1
Everstake,1,,0,1,0
Expedition,1,,0,1,0
GATA HUB,0,,0,0,0
Golden Ratio Staking,4,,2,1,1
HashQuark,1,,0,1,0
Helios Stake,0,,0,0,0
High Stakes,4,,2,1,1
Huginn,1,,0,0,1
IcyCRO.org,4,,2,1,1
Inter Blockchain Services,1,,0,1,0
Interstellar Lounge,4,,2,1,1
Irisnet,4,,2,1,1
ITRocket,4,,2,1,1
JohnWiard,1,,0,1,0
KalpaTech,1,,0,1,0
Keplr,4,,2,1,1
kjnodes.com 🦄,1,,0,1,0
Kleomedes,4,,2,1,1
Lavender.Five Nodes,0,,0,0,0
LuckyStar,4,,2,1,1
M256,4,,2,1,1
Meria,4,,2,1,1
navs,4,,2,1,1
node101,4,,2,1,1
Nansen | Stake to Stack Points,4,,2,1,1
NodeStake,4,,2,1,1
NO FEE | Atlas Staking (Autocompound Rewards),4,,2,1,1
Oldcat - airdrop DHK every month,4,,2,1,1
OwlStake,1,,0,0,1
papadritta,0,,0,0,0
polkachu.com,4,,2,1,1
pro-nodes75,4,,2,1,1
P2P.ORG - P2P Validator,0,,0,0,0
Provalidator,4,,2,1,1
POSITIVA Ultra,4,,2,1,1
POSTHUMAN 🧬 StakeDrop,1,,0,1,0
PRO Delegators,4,,2,1,1
Quasar,1,,0,0,1
S16 Research Ventures,4,,2,1,1
ShapeShift DAO,1,,0,1,0
Silk Nodes,4,,2,1,1
Simply Staking,4,,2,1,1
Smart Stake 📈📊,1,,0,1,0
stake.systems,4,,2,1,1
Snow Fall,1,,0,1,0
Sr20de,4,,2,1,1
Stake&Relax 🦥,4,,2,1,1
Stakecito,4,,2,1,1
Stakeflow,4,,2,1,1
Stakely,1,,0,0,1
TerraBitcoin Club,4,,2,1,1
Tessellated,4,,2,1,1
The_Cybernetics,4,,2,1,1
Ubik Capital,1,,0,1,0
Unity Nodes,0,,0,0,0
VALIDARIOS,1,,0,1,0
w3coins,4,,2,1,1
WeStaking,4,,2,1,1
WhisperNode,0,,0,0,0
Witval,1,,0,1,0
Ztake.org,1,,0,1,0
